ID Przepisu,Typ Zmiany,Stara Wartość,Nowa Wartość
1,Składnik,asparagus,szparagi
1,Jednostka,bag (asparagus),opakowanie
1,Składnik,ewoo,oliwa z oliwek extra virgin
1,Jednostka,Tbsp (ewoo),łyżka
1,Jednostka,cloves (czosnek),ząbki
1,Jednostka,box (bulion warzywny),pudełko
2,Jednostka,Tbsps (olej z pestek winogron),łyżki
2,Jednostka,Tbsps (olej kokosowy),łyżki
2,Jednostka,cloves (czosnek),ząbki
2,Jednostka,head (kalafior),główka
2,Jednostka,Tbsps (sos sojowy),łyżki
2,Jednostka,tsps (olej sezamowy),łyżeczki
2,Jednostka,servings (nasiona sezamu),porcje
2,Jednostka,servings (dodatkowe wierzchołki cebuli),porcje
2,Jednostka,servings (sól),porcje
3,Jednostka,tsps (pieprz),łyżeczki
3,Jednostka,tsp (musztarda dijon),łyżeczka
3,Jednostka,tsps (miód),łyżeczki
3,Jednostka,Tbsps (oliwa z oliwek),łyżki
3,Jednostka,Tbsps (czerwony ocet winny),łyżki
4,Jednostka,bunch (brokuły),pęczek
4,Jednostka,Tbsp (oliwa z oliwek),łyżka
5,Jednostka,tsp (ocet balsamiczny),łyżeczka
5,Jednostka,tsp (kminek),łyżeczka
5,Jednostka,clove (czosnek),ząbek
6,Jednostka,can (ciecierzyca),puszka
6,Jednostka,servings (kolendra),porcje
6,Jednostka,tsps (mielony cynamon),łyżeczki
6,Jednostka,tsps (mielony kminek),łyżeczki
6,Jednostka,tsps (mielona kurkuma),łyżeczki
6,Jednostka,Tbsp (sok z cytryny),łyżka
6,Jednostka,tsps (oliwa z oliwek),łyżeczki
6,Jednostka,tsps (papryka),łyżeczki
6,Jednostka,servings (sól i pieprz),porcje
6,Jednostka,Tbsps (pasta pomidorowa),łyżki
7,Jednostka,tsps (proszek z nasion kminku),łyżeczki
7,Jednostka,bunch (kolendra),pęczek
7,Jednostka,tsps (mielona kolendra),łyżeczki
7,Jednostka,tsp (oliwa z oliwek),łyżeczka
7,Jednostka,tsps (nasiona słonecznika),łyżeczki
8,Jednostka,servings (tęczowe pomidorki koktajlowe),porcje
8,Jednostka,servings (sól i pieprz),porcje
9,Jednostka,can (groszek czarnooki),puszka
9,Jednostka,servings (kapusta włoska),porcje
9,Jednostka,servings (komosa ryżowa),porcje
9,Jednostka,servings (gałka muszkatołowa),porcje
9,Jednostka,Tbsps (oliwa z oliwek),łyżki
9,Jednostka,servings (sól i pieprz),porcje
10,Jednostka,cloves (czosnek),ząbki
10,Jednostka,Tbsps (sok z cytryny),łyżki
10,Jednostka,Tbsps (ocet ryżowy),łyżki
10,Jednostka,tsps (musztarda dijon),łyżeczki
